Date,Month,Hot metal to SMS2,Production,Productivity,Wind Volume,HBT,O2 Enrichment (%),Oxygen Consumption,Iron Ore,Sinter Used,Pellet Used,Coke Used,PCI Used,Limestone,Coke Rate,PCI Coal Rate,Total Fuel Rate,Sinter Percent,Pellet Percent,Iron in Burden,Ore/Coke,Slag Rate,total slag generation,Furnace Availability,Performance Rate,Quality product rate,O E E,Status,Comment
01-01-2026,January,8505,8505,1.8,Not Available,Not Available,5.39,22442,0,5502,8605,3837,1077,536,433,125,558,39,61,Not Available,Not Available,348,2960,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
02-01-2026,January,9050,9050,2,Not Available,Not Available,5.81,24166,0,6422,8513,3910,1313,225,415,143,558,43,57,Not Available,Not Available,390,3530,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
03-01-2026,January,9040,9040,1.9,Not Available,Not Available,5.2,21712,0,5669,9250,3843,1273,401,413,139,552,38,62,Not Available,Not Available,350,3164,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
04-01-2026,January,9550,9550,2.1,Not Available,Not Available,5.7,24028,0,6176,9390,4021,1406,263,410,145,555,40,60,Not Available,Not Available,370,3534,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
05-01-2026,January,3125,3125,0.7,Not Available,Not Available,1.5,7694,0,2307,2756,1620,377,91,511,119,630,46,54,Not Available,Not Available,402,1256,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
06-01-2026,January,1550,1550,0.3,Not Available,Not Available,3.3,1832,0,699,1890,1301,0,124,825,0,825,27,73,Not Available,Not Available,370,574,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
07-01-2026,January,7005,7005,1.5,Not Available,Not Available,3.19,10994,0,3383,8396,3871,715,163,524,101,625,29,71,Not Available,Not Available,350,2452,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
08-01-2026,January,6850,6850,1.5,Not Available,Not Available,2.34,11562,0,3856,7486,3350,554,184,480,80,560,34,66,Not Available,Not Available,354,2425,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
09-01-2026,January,9045,9605,2.1,Not Available,Not Available,5.04,21006,783,5010,9863,4538,928,195,460,95,555,32,63,Not Available,Not Available,354,3400,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
10-01-2026,January,9010,9010,1.9,Not Available,Not Available,3.7,15556,758,5004,9402,3979,1226,252,425,134,559,33,62,Not Available,Not Available,350,3154,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
11-01-2026,January,9050,9050,2,Not Available,Not Available,4.3,18000,747,4778,9407,3720,1414,104,403,154,557,32,63,Not Available,Not Available,358,3240,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
12-01-2026,January,8725,9005,1.9,Not Available,Not Available,5.53,24043,294,5144,9259,4096,1223,0,429,134,563,35,63,Not Available,Not Available,355,3197,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
13-01-2026,January,8650,8650,1.9,Not Available,Not Available,4.38,19489,0,5424,8850,3723,1231,95,415,140,555,38,62,Not Available,Not Available,376,3252,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
14-01-2026,January,6650,6650,1.4,Not Available,Not Available,2.43,11861,0,1607,9104,2850,795,194,422,118,540,15,85,Not Available,Not Available,330,2194,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
15-01-2026,January,9205,9205,2,Not Available,Not Available,5.14,21425,0,4664,10884,3890,1403,87,401,150,551,30,70,Not Available,Not Available,355,3268,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
16-01-2026,January,8505,8505,1.8,Not Available,Not Available,4.9,20415,0,4574,9720,3518,1383,0,389,160,549,32,68,Not Available,Not Available,355,3019,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
17-01-2026,January,9110,9110,2,Not Available,Not Available,4.82,21083,0,5135,9540,3770,1498,78,389,162,551,35,65,Not Available,Not Available,360,3280,Not Available,Not Available,Not Available,Not Available,Running,Normal and Stable Operation
