Date,Month,Hot metal to SMS,Production,Productivity,Wind Volume,HBT,Hot Blast Pressure (bar),O2 Enrichment (%),Oxygen Consumption,Iron Ore,Sinter Used,Pellet Used,Coke Used,PCI Used,Limestone,Coke Rate,PCI Coal Rate,Total Fuel Rate,Sinter Percent,Pellet Percent,Iron in Burden,Ore/Coke,Slag Rate,total slag generation,Furnace Availability,Performance Rate,Quality product rate,O E E,Status,Comment
01-04-2026,April,"10,474","10,754",2.3,"6,180",1125,4.29,6.70,"35,144",0,"6,096","11,320","1,951","2,250",450,356,184,540,35,65,59.18,7,350,3764.00,1,0.98,1,0.98,Running,Normal and Stable Operation
02-04-2026,April,"10,650","10,650",2.3,"6,073",1144,4.33,6.60,"36,013",0,"5,446","11,573","1,845","2,234",347,356,185,541,32,68,59.84,7,350,3728.00,1,0.97,0.84,0.8148,Running,Normal and Stable Operation
03-04-2026,April,"8,020","8,020",1.7,"5,127",1140,3.96,4.88,"26,242",0,"3,586","9,220","2,525","1,460",438,393,160,553,28,72,60.37,4,330,2647.00,1,0.73,0.84,0.6132,Running,Normal and Stable Operation
04-04-2026,April,"8,005","8,005",1.7,"5,411",1134,3.72,3.26,"17,320",0,"2,767","10,409","2,447","1,400",381,398,154,552,21,79,58.5,5,328,2626.00,1,0.73,0.9,0.657,Running,Normal and Stable Operation
05-04-2026,April,"9,350","9,350",2,"6,147",1137,4.22,6.50,"31,430",0,"5,061","10,275","1,878","1,765",657,390,166,556,33,67,58.1,6,377,3525.00,1,0.85,0.93,0.7905,Running,Normal and Stable Operation
06-04-2026,April,"8,120","8,120",1.8,"4,224",1084,2.9,6.07,"28,345",0,"5,069","8,270","2,037","1,698",497,358,184,542,38,62,57.66,5,372,3021.00,1,0.74,0,0,Running,Normal and Stable Operation
07-04-2026,April,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,Shutdown,Under Maintenance
08-04-2026,April,"7,010","7,010",1.5,"5,599",1123,3.81,4.70,"20,899",0,"4,906","6,775","1,912",916,346,450,115,565,42,58,57.53,5,361,2531.00,1,0.64,0,0,Running,Normal and Stable Operation
09-04-2026,April,"9,620","9,620",2.1,"6,210",1105,4.35,6.80,"31,870",0,"6,290","9,435","1,864","1,837",351,379,168,547,40,60,58.54,7,367,3531.00,1,0.87,0,0,Running,Normal and Stable Operation
10-04-2026,April,"9,830","10,110",2.2,"6,055",1134,4.26,7.10,"33,888",0,"5,960","10,596","1,924","1,999",579,368,174,542,36,64,58.86,7,345,3488.00,1,0.92,0,0,Running,Normal and Stable Operation
11-04-2026,April,"9,250","9,250",2,"5,574",1145,4.17,7.20,"34,685",0,"4,976","10,104","1,886","1,840",397,387,175,562,33,67,59.06,6,342,3164.00,1,0.84,0,0,Running,Normal and Stable Operation
12-04-2026,April,"7,520","7,520",1.6,"5,530",1123,4.01,7.02,"24,967",0,"5,032","7,548","2,221","1,435",420,396,168,564,40,60,58.45,5,342,2572.00,1,0.68,0,0,Running,Normal and Stable Operation
13-04-2026,April,"9,710","9,710",2.1,"5,904",1131,4.29,6.89,"35,808",0,"5,786","10,285","2,158","1,854",523,381,168,549,36,64,58.25,6,355,3447.00,1,0.88,1,0.88,Running,Normal and Stable Operation
14-04-2026,April,"10,110","10,110",2.2,"5,885",1128,4.28,6.69,"36,796",0,"5,313","11,290","2,191","2,020",488,378,176,554,32,68,58.43,6,330,3336.00,1,0.92,0.71,0.6532,Running,Normal and Stable Operation
15-04-2026,April,"10,010","10,010",2.2,"5,867",1120,4.31,7.59,"37,136",0,"5,228","11,109","2,070","1,902",553,383,167,550,32,68,58.87,6,345,3453.00,1,0.91,0.59,0.5369,Running,Normal and Stable Operation
16-04-2026,April,"9,510","9,510",2.1,"5,724",1123,4.28,6.18,"34,750",0,"5,617","9,985","1,828","1,817",478,378,168,546,36,64,58.3,7,355,3376.00,1,0.86,0.62,0.5332,Running,Normal and Stable Operation
