Date,Al%(sinter),Fe total%(sinter),FeO%(sinter),Basicity(sinter),MPS(sinter),Al%(pellet),CaO%(pellet),MgO%(pellet),CCS(pellet),VM%(coke),Ash%(coke),Moisture%(coke),MPS(coke)
01-01-2026,3.08,51.2,9.49,2.93,18.88,3.35,2.08,1.04,248,1.25,13.04,1,50.85
02-01-2026,2.95,51.17,9.59,2.93,18.55,3.03,1.09,0.32,259.5,1.22,12.76,2.47,51.11
03-01-2026,2.93,50.94,9.59,2.8,18.3,2.53,0.96,0.35,263,1.14,13.29,1.3,50.81
04-01-2026,2.88,51.21,9.62,2.69,17.74,2.71,1.5,0.43,255.5,1.14,13,2.2,47.32
05-01-2026,2.81,52.18,9.51,2.97,,2.21,1.03,0.21,261,1.29,12.26,5.8,
06-01-2026,,,,,,,,,,,,,
07-01-2026,2.71,51.44,9.53,3.09,19.13,2.39,1.23,0.36,259,1.17,13.21,1.8,49.86
08-01-2026,2.78,51.56,9.45,3.16,18.84,2.3,1.19,0.26,256,1.18,13.13,2.3,51.27
09-01-2026,3.04,51.72,9.54,2.82,19.78,2.31,1.19,0.21,263,1.18,13.33,2.5,50.11
10-01-2026,2.83,51.77,9.55,3.14,19.81,2.33,1.2,0.37,268,1.27,13.43,3.42,49.9
11-01-2026,2.99,51.74,9.59,2.92,17.67,2.6,1.31,0.34,263,1.13,13.44,4.4,50.33
12-01-2026,2.92,51.34,9.74,3.09,18.34,2.46,1.4,0.36,269,1.21,13.12,3.9,50.58
13-01-2026,2.84,51.44,9.63,3.09,17.86,2.56,1.53,0.43,253.33,1.2,13.41,3.3,50.29
14-01-2026,2.79,51.99,9.68,3.16,18.19,2.17,1.19,0.22,260,1.16,13.23,3.23,51.24
15-01-2026,2.63,52.03,9.67,3.07,17.72,2.2,1.2,0.24,267,1.18,13.13,3.33,49.49
16-01-2026,2.43,52.67,9.48,3.18,20.32,2.39,1.3,0.34,263.5,1.14,13.14,1.6,49.01
17-01-2026,2.48,52.23,9.61,3.18,18.53,2.24,1.28,0.24,263,1.25,13.43,3.35,49.55
18-01-2026,2.51,51.9,9.68,3.18,18.3,2.25,1.41,0.3,268.67,1.09,13.14,3.67,49.44
19-01-2026,2.37,52.45,9.62,3.24,17.9,2.43,1.42,0.43,268,1.16,13.25,3,50.7
20-01-2026,2.53,52.15,9.71,3.26,18.22,3.1,1.94,0.7,219.33,1.16,12.84,3.1,49.25
21-01-2026,2.53,52.81,9.65,3.1,19.25,3.43,2.02,0.8,194.67,1.17,13.32,4.7,48
